geonameid,name,ascii_name,alternate_names,latitude,longitude,feature_class,feature_code,country_code,alternate_country_code,fips_code,admin2_code,admin3_code,admin4_code,population,elevation,digital_elevation_model,timezone,modification_date,location
2986043,Pic de Font Blanca,Pic de Font Blanca,"Pic de Font Blanca,Pic du Port",42.64991,1.53335,T,PK,AD,,00,,,,0,,2860,Europe/Andorra,2014-11-05,POINT(1.53335 42.64991)
2994701,Roc MÃ©lÃ©,Roc Mele,"Roc Mele,Roc Meler,Roc MÃ©lÃ©",42.58765,1.7402799999999998,T,MT,AD,"AD,FR",00,,,,0,,2803,Europe/Andorra,2020-06-10,POINT(1.7402799999999998 42.58765)
3007683,Pic des Langounelles,Pic des Langounelles,Pic des Langounelles,42.61203,1.47364,T,PK,AD,"AD,FR",00,,,,0,,2685,Europe/Andorra,2014-11-05,POINT(1.47364 42.61203)
3017832,Pic de les Abelletes,Pic de les Abelletes,"Pic de la Font-Negre,Pic de la Font-NÃ¨gre,Pic de les Abelletes",42.52535,1.73343,T,PK,AD,FR,A9,66.0,663.0,66146.0,0,,2411,Europe/Andorra,2014-11-05,POINT(1.73343 42.52535)
3017833,Estany de les Abelletes,Estany de les Abelletes,"Estany de les Abelletes,Etang de Font-Negre,Ãtang de Font-NÃ¨gre",42.52915,1.7336200000000002,H,LK,AD,FR,A9,,,,0,,2260,Europe/Andorra,2014-11-05,POINT(1.7336200000000002 42.52915)
3023203,Port Vieux de la Coume dâOse,Port Vieux de la Coume d'Ose,"Port Vieux de Coume d'Ose,Port Vieux de Coume dâOse,Port Vieux de la Coume d'Ose,Port Vieux de la Coume dâOse",42.625679999999996,1.6182299999999998,T,PASS,AD,,00,,,,0,,2687,Europe/Andorra,2014-11-05,POINT(1.6182299999999998 42.625679999999996)
3029315,Port de la Cabanette,Port de la Cabanette,"Port de la Cabanette,Porteille de la Cabanette",42.6,1.73333,T,PASS,AD,"AD,FR",B3,9.0,91.0,9139.0,0,,2379,Europe/Andorra,2014-11-05,POINT(1.73333 42.6)
3034945,Port Dret,Port Dret,"Port Dret,Port de Bareites,Port de las Bareytes,Port des Bareytes",42.60172,1.4556200000000001,T,PASS,AD,,00,,,,0,,2660,Europe/Andorra,2014-11-05,POINT(1.4556200000000001 42.60172)
3038814,Costa de Xurius,Costa de Xurius,,42.50692,1.47569,T,SLP,AD,,07,,,,0,,1839,Europe/Andorra,2015-03-08,POINT(1.47569 42.50692)
3038815,Font de la Xona,Font de la Xona,,42.55003,1.44986,H,SPNG,AD,,04,,,,0,,1976,Europe/Andorra,2010-01-11,POINT(1.44986 42.55003)
