,Country Code,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5
4,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Angola,
16,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Burundi,
18,BEN,Sub-Saharan Africa,Lower middle income,,Benin,
19,BFA,Sub-Saharan Africa,Low income,,Burkina Faso,
33,BWA,Sub-Saharan Africa,Upper middle income,,Botswana,
34,CAF,Sub-Saharan Africa,Low income,,Central African Republic,
41,CIV,Sub-Saharan Africa,Lower middle income,,Côte d'Ivoire,
42,CMR,Sub-Saharan Africa,Lower middle income,,Cameroon,
43,COD,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Congo, Dem. Rep.",
44,COG,Sub-Saharan Africa,Lower middle income,,"Congo, Rep.",
46,COM,Sub-Saharan Africa,Lower middle income,,Comoros,
47,CPV,Sub-Saharan Africa,Lower middle income,,Cabo Verde,
